調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2019/12/30,27.7,29.2,31.2,25.7,,,18493.0,13578.0,,,,
2019/12/24,,,,,,37.6,,,,,,
2019/12/23,27.6,29.1,31.1,25.6,,,18393.0,13478.0,,,,
2019/12/17,,,,,,37.2,,,,,,
2019/12/16,27.3,28.8,30.8,25.2,,,17993.0,13078.0,,,,
2019/12/10,,,,,,36.3,,,,,,
2019/12/9,26.9,28.4,30.4,24.8,,,17593.0,12678.0,,,,
2019/12/6,,,,,,,,,16030.0,16705.0,,
2019/12/3,,,,,,36.9,,,,,,
2019/12/2,27.1,28.6,30.6,25.0,,,17793.0,12878.0,,,,
2019/11/25,26.9,28.4,30.4,24.7,,,17493.0,12578.0,,,,
2019/11/19,,,,,,36.3,,,,,,
2019/11/18,26.8,28.3,30.3,24.6,,,17393.0,12478.0,,,,
2019/11/11,26.6,28.1,30.1,24.4,,,17193.0,12278.0,,,,
2019/11/6,,,,,,,,,16151.0,16795.0,,
2019/10/28,26.4,27.9,29.9,24.2,,,16993.0,12078.0,,,,
2019/10/22,,,,,,36.7,,,,,,
2019/10/21,26.3,27.8,29.8,24.1,,,16893.0,11978.0,,,,
2019/10/15,,,,,,37.1,,,,,,
2019/10/14,26.2,27.7,29.7,24.0,,,16793.0,11878.0,,,,
2019/10/8,,,,,,37.7,,,,,,
2019/10/7,26.3,27.8,29.8,24.1,,,16893.0,11978.0,,,,
2019/10/6,,,,,,,,,16391.0,17067.0,,
2019/10/2,,,,,,38.9,,,,,,
2019/9/30,27.1,28.6,30.6,25.0,,,17793.0,12878.0,,,,
2019/9/24,,,,,,40.0,,,,,,
2019/9/23,27.3,28.8,30.8,25.5,,,18293.0,13378.0,,,,
2019/9/17,,,,,,38.5,,,,,,
2019/9/16,26.8,28.3,30.3,24.6,,,17393.0,12478.0,,,,
2019/9/9,26.3,27.8,29.8,24.2,,,16993.0,12078.0,,,,
2019/9/6,,,,,,,,,16510.0,17221.0,,
2019/9/2,26.5,28.0,30.0,24.3,,,17093.0,12178.0,,,,
